sales,price,brand,feat
8255.99999982379,3.87,tropicana,0
6143.99999983099,3.87,tropicana,0
3840.00000007,3.87,tropicana,0
8000.000000304209,3.87,tropicana,0
8896.00000008573,3.87,tropicana,0
7168.00000032424,3.87,tropicana,0
10879.9999998919,3.29,tropicana,0
7744.00000033754,3.29,tropicana,0
8512.000000158101,3.29,tropicana,0
5503.99999992746,3.29,tropicana,0
5887.9999999487,3.56,tropicana,0
8384.00000032845,3.56,tropicana,0
5951.99999992306,3.56,tropicana,0
6847.99999985223,3.56,tropicana,0
9215.99999967124,3.87,tropicana,0
12159.9999997549,2.99,tropicana,0
12672.0000005803,2.99,tropicana,0
6527.99999971314,3.59,tropicana,0
6143.99999983099,3.59,tropicana,0
21119.9999995734,2.39,tropicana,0
12415.999999714399,2.39,tropicana,0
9471.99999977469,3.59,tropicana,0
17919.9999994817,2.59,tropicana,0
9407.99999963866,2.59,tropicana,0
6271.99999981031,3.59,tropicana,0
6912.00000011134,3.59,tropicana,0
16767.9999996517,2.49,tropicana,0
6271.99999981031,3.59,tropicana,0
7936.000000280071,3.59,tropicana,0
6143.99999983099,3.59,tropicana,0
7936.000000280071,3.59,tropicana,0
7808.00000005521,3.59,tropicana,0
6080.00000024191,3.59,tropicana,0
42176.0000058127,1.69,tropicana,1
4927.99999993418,3.59,tropicana,0
29503.9999894871,1.99,tropicana,1
9983.99999990806,3.59,tropicana,0
35200.0000145662,1.99,tropicana,1
23936.0000054047,1.99,tropicana,0
7104.000000198871,3.59,tropicana,0
24512.0000112677,2.29,tropicana,1
6336.00000003636,3.59,tropicana,0
6080.00000024191,3.59,tropicana,0
33536.0000107076,1.99,tropicana,0
13247.9999996683,1.99,tropicana,0
6208.00000022936,3.59,tropicana,0
10623.9999998277,3.59,tropicana,0
44671.999994548,1.99,tropicana,0
20096.0000006446,1.99,tropicana,0
9151.99999982081,3.59,tropicana,1
21951.9999994378,2.19,tropicana,0
13567.9999995701,2.19,tropicana,0
4160.00000018591,3.59,tropicana,0
39424.0000042108,1.99,tropicana,1
5631.99999978667,3.59,tropicana,0
9023.99999965854,2.68,tropicana,1
6015.99999982147,3.44,tropicana,0
7744.00000033754,3.14,tropicana,0
6784.00000019172,3.07,tropicana,0
6784.00000019172,3.07,tropicana,0
6271.99999981031,3.07,tropicana,0
5312.00000023229,3.07,tropicana,0
9215.99999967124,3.11,tropicana,0
7296.000000334399,3.19,tropicana,0
34239.999991245604,1.99,tropicana,1
7168.00000032424,2.64,tropicana,0
